Old Ward Code,New ward code,Ward,Borough,lifespan,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,Deliberate Fires - 2013,% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
00ABFX,E05000026,Abbey,Barking and Dagenham,82,14750,3850,10150,750,26,69,5,29.5,29,1.3,10500,71.9,57.3,25.7,97.6,80.2,83.9,157.3,1.3,2,5444,60.3,108.7,173000,151,33920,4753,3.9,7.2,22.6,66.3,32.7,26.7,38.6,45.2,54.8,0,15.1,16.1,4.2,4,22.1,8.7,55.3,166,85.7,317.7,1.4,16.4,34.5,682.6,208.9,138.1,42.2,1.2,21.9,0.5,6,0.8,25.7
00ABFY,E05000027,Alibon,Barking and Dagenham,79,10600,2700,6800,1050,25.7,64.3,10,33.8,33,1.4,7428.6,29.9,24.7,7.9,83.3,77.2,80.6,139.8,0.9,1,4143,63.1,31.1,215000,119,32470,4045,3.8,18.2,63.8,14.2,45.1,36.8,15.9,9.7,90.3,0,20.7,17.7,7.3,3.7,24.7,12.4,61,124,100,307.4,1.5,31.2,16.7,627.9,201.6,73.6,27.3,0.7,20.6,0.8,3.1,1,20.3
00ABFZ,E05000028,Becontree,Barking and Dagenham,79.2,12700,3200,8350,1100,25.4,65.9,8.7,33,32,1.3,9269.2,41.2,30.1,10.5,101.1,79,79.3,130.1,0.6,3,4598,61.2,38.6,210000,191,33000,4378,4.2,24.7,52,19.1,46.7,29.4,20.1,13.4,86.6,0,17.8,16.4,6.5,3.6,22,10.7,51.5,185,100,295.5,1.5,28,20.6,632,207.9,79.9,27.6,0.4,1.9,0.9,2.9,1.6,22.5
00ABGA,E05000029,Chadwell Heath,Barking and Dagenham,80.8,10400,2550,6400,1450,24.3,61.5,14.2,36.2,34,3.4,2985.3,37.9,24.8,6.5,73.6,79.2,82.2,139.1,0.8,6,3819,63.6,26.3,240500,108,33920,4062,3.8,29.6,32.2,34.5,54,32,12.4,33.8,65.9,0.2,19.4,15.1,5.9,3.7,24.3,10.1,55.2,96,100,293.4,1.6,29.1,19.5,613.9,210.5,76.1,24.6,1.9,56,0.9,2.3,1.2,25.3
00ABGB,E05000030,Eastbrook,Barking and Dagenham,79.2,10750,2150,7050,1550,20.1,65.7,14.2,37.7,36,3.5,3028.6,24.8,19,4.5,73.2,77.1,81.1,147.8,0.7,2,4592,68.2,18.4,240000,129,37400,3977,3.2,32.6,45.5,18.4,67.6,20,11.2,14.8,84.7,0.5,14.7,12.1,4.6,4,20.4,6.7,48.7,288,100,305.9,1.2,29.9,18.5,670.1,206.8,66.7,24.5,1.1,50.4,1.1,2.3,1.6,24.1
00ABGC,E05000031,Eastbury,Barking and Dagenham,82,11900,3000,7750,1150,25.2,65.2,9.6,33.4,32,1.4,8357.1,41.7,32.2,11.9,87.6,78.9,84.9,113,0.4,5,4546,61.5,48.9,220000,105,32870,4321,5,21,52.5,21.5,44,37.4,17.3,18.9,81.1,0,18.1,16.9,5.7,3.6,22.3,11.1,52.5,135,100,315.7,1.4,28.9,20,680.8,212.1,82.2,24.9,1.4,17.1,0.8,2.7,1.5,21.5
00ABGD,E05000032,Gascoigne,Barking and Dagenham,78.2,15850,5100,9900,850,32,62.6,5.4,29,29,1.1,12772.7,60.4,48.2,18.7,92.9,75.5,81.1,136.1,0.8,2,4382,56.4,69.6,200000,87,29480,4711,2.2,6.8,19.5,71.4,23.7,54,18.3,59.4,40.6,0,19.5,20.1,5.3,4.1,22.9,14.7,57.2,37,100,300.7,1.3,25.5,25.2,662.1,210.3,75.8,20.3,0.7,20.8,0.5,3.2,1.4,25.6
00ABGE,E05000033,Goresbrook,Barking and Dagenham,80.3,11450,3000,7250,1250,25.9,63.2,10.9,34.1,33,1.3,8692.3,33.3,26.8,7.7,86.2,77.5,82.8,136.6,0.7,1,4544,63.6,27.4,205000,109,33250,4296,4.8,17.4,62.5,15.3,43.1,37.3,15.8,11.2,88.8,0,18.9,17.7,6.2,3.5,23.9,11.1,57.3,142,100,302.2,1.2,30,18.8,693.7,217.3,74.8,25.8,1.1,14.1,0.8,2.5,1.7,20.5
00ABGF,E05000034,Heath,Barking and Dagenham,78.5,11150,2900,6950,1300,26.2,62.3,11.5,34.4,32,2,5475,32.3,24.1,6.2,88.4,76.5,80.1,188,0.8,3,4043,61.4,30,215000,105,31340,4418,2.9,18.9,41.9,36.4,41.6,45.3,11.3,36.2,63.8,0,21.3,19.6,6.7,3.9,23.4,11.7,55.4,91,100,297.3,1.1,32.1,17.6,656.7,207.6,83.7,24.2,1,36.3,0.7,2.7,1.6,22.2
00ABGG,E05000035,Longbridge,Barking and Dagenham,82.2,11900,2600,7850,1450,21.7,66,12.2,35.2,32,1.6,7281.3,57.4,33.3,11.9,81.1,78.7,85.7,118.4,0.5,2,4894,65.2,39.8,312750,120,40570,3788,3.9,23.1,50.4,22.5,70,13.1,15.3,12.2,80.3,7.5,11.1,7.3,3.1,2.3,10.6,4.9,44.5,375,66.7,337.8,0.8,22.7,25,697.2,211.3,57,16.6,0.7,28.3,1.1,3.1,1.1,30.6
